# Time-averaged data for fix DensAve
# TimeStep v_Density
20050000 1.01076
20100000 1.01489
20150000 1.01322
20200000 1.01464
20250000 1.01377
20300000 1.0214
20350000 1.02248
20400000 1.02181
20450000 1.01969
20500000 1.02081
20550000 1.02078
20600000 1.02456
20650000 1.02699
20700000 1.03182
20750000 1.03183
20800000 1.03435
20850000 1.03512
20900000 1.0314
20950000 1.02367
21000000 1.03399
21050000 1.02959
21100000 1.02602
21150000 1.02383
21200000 1.022
21250000 1.02014
21300000 1.02029
21350000 1.01747
21400000 1.02024
21450000 1.02554
21500000 1.02152
21550000 1.02553
21600000 1.02739
21650000 1.01888
21700000 1.02614
21750000 1.02529
21800000 1.02432
21850000 1.02275
21900000 1.0234
21950000 1.02134
22000000 1.01926
22050000 1.01294
22100000 1.02267
22150000 1.0207
22200000 1.02036
22250000 1.02264
22300000 1.02287
22350000 1.02032
22400000 1.02053
22450000 1.01923
22500000 1.01387
22550000 1.02445
22600000 1.03279
22650000 1.02458
22700000 1.02792
22750000 1.03045
22800000 1.03139
22850000 1.02657
22900000 1.0316
22950000 1.02978
23000000 1.02598
23050000 1.02271
23100000 1.02571
23150000 1.02116
23200000 1.02751
23250000 1.02086
23300000 1.02264
23350000 1.02165
23400000 1.01879
23450000 1.01992
23500000 1.01911
23550000 1.02902
23600000 1.0249
23650000 1.02285
23700000 1.03186
23750000 1.02732
23800000 1.0217
23850000 1.03162
23900000 1.03343
23950000 1.03485
24000000 1.03639
24050000 1.03473
24100000 1.04005
24150000 1.03959
24200000 1.04225
24250000 1.03685
24300000 1.03916
24350000 1.04513
24400000 1.03829
24450000 1.0412
24500000 1.04542
24550000 1.04367
24600000 1.04798
24650000 1.04622
24700000 1.04132
24750000 1.04496
24800000 1.04222
24850000 1.04511
24900000 1.03908
24950000 1.04204
25000000 1.03831
